
url                                                                                               abs                                                                                               status type                     
http://127.0.0.1:8000/public/frontend/infixlmstheme/img/others/about-v3.png                       http://127.0.0.1:8000/public/frontend/infixlmstheme/img/others/about-v3.png                          200 image/png                
http://127.0.0.1:8000/public/frontend/infixlmstheme/img/others/phone-img.png                      http://127.0.0.1:8000/public/frontend/infixlmstheme/img/others/phone-img.png                         200 image/png                
http://127.0.0.1:8000/public/frontend/infixlmstheme/img/others/reward-img.png                     http://127.0.0.1:8000/public/frontend/infixlmstheme/img/others/reward-img.png                        200 image/png                
http://127.0.0.1:8000/public/frontend/infixlmstheme/img/shape/reward-position.png                 http://127.0.0.1:8000/public/frontend/infixlmstheme/img/shape/reward-position.png                    200 image/png                
http://127.0.0.1:8000/public/frontend/infixlmstheme/img/shape/reward-shape.png                    http://127.0.0.1:8000/public/frontend/infixlmstheme/img/shape/reward-shape.png                       200 image/png                
http://127.0.0.1:8000/public/frontend/infixlmstheme/img/shape/team-shape.png                      http://127.0.0.1:8000/public/frontend/infixlmstheme/img/shape/team-shape.png                         200 image/png                
http://127.0.0.1:8000/public/frontend/infixlmstheme/img/svg/apple_store_btn.svg                   http://127.0.0.1:8000/public/frontend/infixlmstheme/img/svg/apple_store_btn.svg                      200 image/svg+xml            
http://127.0.0.1:8000/public/frontend/infixlmstheme/img/svg/google_play_btn.svg                   http://127.0.0.1:8000/public/frontend/infixlmstheme/img/svg/google_play_btn.svg                      200 image/svg+xml            
http://127.0.0.1:8000/public/frontend/infixlmstheme/js/app.js?v=9.0.0...                          http://127.0.0.1:8000/public/frontend/infixlmstheme/js/app.js?v=9.0.0...                             200 text/plain; charset=UTF-8
http://127.0.0.1:8000/public/frontend/infixlmstheme/js/contact.js?v=9.0.0...                      http://127.0.0.1:8000/public/frontend/infixlmstheme/js/contact.js?v=9.0.0...                         200 text/plain; charset=UTF-8
http://127.0.0.1:8000/public/frontend/infixlmstheme/js/custom.js?v=9.0.0...                       http://127.0.0.1:8000/public/frontend/infixlmstheme/js/custom.js?v=9.0.0...                          200 application/x-empty      
http://127.0.0.1:8000/public/frontend/infixlmstheme/js/map.js                                     http://127.0.0.1:8000/public/frontend/infixlmstheme/js/map.js                                        200 text/plain; charset=UTF-8
http://127.0.0.1:8000/public/uploads/main/files/16-11-2025/category.png                           http://127.0.0.1:8000/public/uploads/main/files/16-11-2025/category.png                              200 image/png                
http://127.0.0.1:8000/public/uploads/main/files/21-01-2026/icon.png                               http://127.0.0.1:8000/public/uploads/main/files/21-01-2026/icon.png                                  200 image/png                
http://127.0.0.1:8000/public/uploads/main/files/21-01-2026/icon.png?v=9.0.0...                    http://127.0.0.1:8000/public/uploads/main/files/21-01-2026/icon.png?v=9.0.0...                       200 image/png                
http://127.0.0.1:8000/public/uploads/settings/logo.png                                            http://127.0.0.1:8000/public/uploads/settings/logo.png                                               200 image/png                
https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js                                   https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js                                      ERR                          



